,accuracy,auprc,precision,recall,f1,auroc
bert_MLP,0.951,0.927,0.952,0.946,0.949,0.951
elmo_L1 Log Reg,0.943,0.913,0.94,0.942,0.941,0.943
elmo_L2 Log Reg,0.94,0.909,0.936,0.94,0.938,0.94
bert_RBF SVM,0.939,0.904,0.927,0.947,0.937,0.939
fasttext_MLP,0.932,0.903,0.94,0.919,0.929,0.932
bert_L1 Log Reg,0.928,0.89,0.921,0.93,0.925,0.928
bert_Linear SVM,0.928,0.891,0.921,0.931,0.926,0.928
flair-news-forward_MLP,0.928,0.896,0.933,0.918,0.925,0.928
bert_L2 Log Reg,0.927,0.89,0.921,0.929,0.925,0.927
flair-news-backward_MLP,0.921,0.886,0.924,0.912,0.918,0.921
flair-multi-forward_MLP,0.921,0.884,0.921,0.914,0.918,0.92
fasttext_RBF SVM,0.917,0.875,0.907,0.923,0.915,0.917
flair-multi-backward_MLP,0.912,0.873,0.914,0.904,0.909,0.912
glove_MLP,0.907,0.867,0.915,0.89,0.902,0.906
twitter_MLP,0.905,0.865,0.914,0.887,0.9,0.904
flair-news-forward_RBF SVM,0.902,0.853,0.889,0.91,0.9,0.902
flair-news-forward_Linear SVM,0.898,0.849,0.888,0.902,0.895,0.898
elmo_KNN-5,0.896,0.866,0.938,0.841,0.887,0.894
glove_RBF SVM,0.895,0.848,0.891,0.893,0.892,0.895
flair-news-forward_L2 Log Reg,0.895,0.845,0.888,0.895,0.891,0.895
flair-news-forward_L1 Log Reg,0.895,0.846,0.888,0.895,0.891,0.895
elmo_KNN-3,0.895,0.863,0.934,0.842,0.885,0.893
twitter_RBF SVM,0.893,0.843,0.886,0.894,0.89,0.893
fasttext_L2 Log Reg,0.889,0.838,0.882,0.89,0.886,0.889
flair-news-backward_RBF SVM,0.889,0.835,0.874,0.901,0.887,0.889
fasttext_L1 Log Reg,0.888,0.837,0.882,0.887,0.885,0.888
fasttext_Linear SVM,0.888,0.837,0.881,0.89,0.885,0.888
flair-news-backward_Linear SVM,0.885,0.831,0.874,0.891,0.882,0.885
